from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
100 Mile House,15,152506.3,42h 22m,,,,,,42h 22m,39h 25m,36h 20m,33h 02m,29h 29m,25h 16m,20h 50m,17h 22m,14h 59m,12h 44m,10h 57m,9h 07m,6h 23m
Fort St. James,15,154816.2,43h 00m,,,,,,43h 00m,39h 59m,36h 50m,33h 28m,29h 49m,25h 30m,20h 55m,17h 16m,15h 10m,12h 41m,10h 38m,9h 16m,7h 16m
Abbotsford,15,158733.4,44h 06m,,,,,,44h 06m,41h 13m,38h 13m,35h 02m,31h 36m,27h 32m,23h 17m,20h 01m,17h 26m,15h 29m,13h 53m,11h 35m,8h 03m
Aberdeen,15,148266.8,41h 11m,,,,,,41h 11m,38h 19m,35h 21m,32h 11m,28h 47m,24h 45m,20h 32m,17h 19m,14h 48m,12h 56m,11h 22m,9h 14m,5h 57m
Acadia,15,125425.2,34h 50m,,,,,,34h 50m,32h 07m,29h 19m,26h 21m,23h 10m,19h 25m,15h 32m,12h 45m,10h 07m,8h 30m,6h 40m,4h 30m,2h 09m
Acton,15,116557.3,32h 23m,,,,,,32h 23m,29h 30m,27h 02m,24h 32m,22h 37m,20h 48m,19h 24m,17h 46m,16h 17m,14h 26m,12h 10m,9h 59m,6h 32m
Acton Vale,15,106528.1,29h 35m,,,,,,29h 35m,26h 14m,23h 12m,20h 04m,17h 22m,14h 38m,12h 06m,9h 42m,7h 36m,5h 56m,4h 33m,2h 38m,1h 33m
Adstock,15,110506.6,30h 42m,,,,,,30h 42m,27h 15m,24h 08m,20h 53m,18h 04m,15h 10m,12h 27m,9h 49m,7h 50m,6h 19m,5h 10m,3h 34m,3h 03m
Agassiz,15,157001.2,43h 37m,,,,,,43h 37m,40h 44m,37h 45m,34h 34m,31h 08m,27h 04m,22h 49m,19h 33m,16h 59m,15h 02m,13h 29m,11h 13m,7h 43m
Agincourt North,15,114480.4,31h 48m,,,,,,31h 48m,28h 54m,26h 25m,23h 55m,21h 58m,20h 07m,18h 41m,17h 05m,15h 38m,13h 44m,11h 32m,9h 24m,6h 05m
Ahuntsic-Cartierville,15,104836.9,29h 07m,,,,,,29h 07m,25h 49m,22h 52m,19h 48m,17h 13m,14h 35m,12h 12m,9h 58m,7h 47m,5h 59m,4h 25m,2h 14m,0h 43m
Airdrie,15,125820.2,34h 57m,,,,,,34h 57m,32h 13m,29h 24m,26h 24m,23h 12m,19h 25m,15h 30m,12h 40m,10h 05m,8h 34m,6h 40m,4h 37m,2h 12m
Ajax,15,113962.9,31h 39m,,,,,,31h 39m,28h 45m,26h 15m,23h 43m,21h 45m,19h 52m,18h 24m,16h 48m,15h 21m,13h 25m,11h 13m,9h 07m,5h 49m
Aklavik,15,274820.4,76h 20m,,,,,,76h 20m,72h 43m,68h 52m,64h 41m,60h 04m,54h 35m,48h 36m,43h 10m,39h 05m,34h 20m,28h 15m,21h 09m,12h 36m
Albanel,15,111925.6,31h 05m,,,,,,31h 05m,27h 46m,24h 48m,21h 44m,19h 06m,16h 27m,14h 02m,11h 46m,9h 44m,8h 44m,7h 35m,6h 00m,5h 18m
Alberton,15,128525.3,35h 42m,,,,,,35h 42m,31h 47m,28h 06m,24h 13m,20h 38m,16h 49m,12h 59m,8h 57m,7h 07m,5h 36m,3h 48m,2h 41m,1h 19m
Albion,15,160326.1,44h 32m,,,,,,44h 32m,41h 39m,38h 40m,35h 28m,32h 02m,27h 58m,23h 42m,20h 26m,17h 50m,15h 52m,14h 16m,11h 57m,8h 22m
Alderwood,15,114760.7,31h 53m,,,,,,31h 53m,29h 00m,26h 32m,24h 03m,22h 08m,20h 18m,18h 55m,17h 17m,15h 49m,13h 58m,11h 44m,9h 35m,6h 11m
Aldouane,15,121666.0,33h 48m,,,,,,33h 48m,29h 56m,26h 20m,22h 32m,19h 04m,15h 22m,11h 42m,7h 51m,6h 20m,5h 03m,3h 23m,1h 53m,1h 18m
Alexandria,15,111304.7,30h 55m,,,,,,30h 55m,27h 45m,24h 57m,22h 04m,19h 41m,17h 19m,15h 14m,13h 24m,11h 30m,9h 41m,7h 38m,5h 45m,2h 49m
Alix,15,125722.2,34h 55m,,,,,,34h 55m,32h 10m,29h 19m,26h 18m,23h 03m,19h 13m,15h 15m,12h 21m,9h 53m,8h 29m,6h 32m,4h 45m,2h 31m
Alliston,15,114896.4,31h 55m,,,,,,31h 55m,29h 05m,26h 40m,24h 14m,22h 23m,20h 38m,19h 18m,17h 40m,16h 08m,14h 26m,12h 07m,9h 51m,6h 16m
Alma,15,111470.3,30h 58m,,,,,,30h 58m,27h 34m,24h 30m,21h 19m,18h 34m,15h 45m,13h 09m,10h 39m,8h 38m,7h 41m,6h 35m,5h 06m,4h 24m
Altadore,15,125786.5,34h 56m,,,,,,34h 56m,32h 13m,29h 25m,26h 26m,23h 15m,19h 30m,15h 36m,12h 49m,10h 10m,8h 34m,6h 43m,4h 33m,2h 10m
Altamont,15,164691.5,45h 45m,,,,,,45h 45m,42h 55m,39h 58m,36h 50m,33h 28m,29h 28m,25h 19m,22h 10m,19h 44m,17h 59m,16h 41m,14h 48m,11h 58m
Altona,15,111187.0,30h 53m,,,,,,30h 53m,28h 55m,26h 59m,25h 02m,23h 03m,20h 44m,18h 06m,15h 23m,12h 49m,10h 11m,7h 34m,5h 06m,2h 36m
Amherst,15,122214.6,33h 57m,,,,,,33h 57m,30h 03m,26h 25m,22h 33m,19h 01m,15h 15m,11h 30m,7h 32m,5h 46m,4h 23m,2h 50m,1h 30m,0h 20m
Amherstburg,15,129823.7,36h 04m,,,,,,36h 04m,33h 10m,30h 40m,28h 10m,26h 13m,24h 21m,22h 55m,21h 13m,19h 40m,17h 43m,15h 20m,12h 57m,9h 10m
Amigo Beach,15,113495.6,31h 32m,,,,,,31h 32m,28h 43m,26h 21m,23h 58m,22h 10m,20h 29m,19h 06m,17h 33m,15h 58m,14h 15m,12h 01m,9h 40m,5h 57m
Amos,15,101491.8,28h 12m,,,,,,28h 12m,25h 23m,23h 00m,20h 36m,18h 48m,17h 06m,15h 17m,13h 41m,12h 03m,10h 21m,8h 03m,4h 44m,1h 20m
Ange-Gardien,15,106355.9,29h 33m,,,,,,29h 33m,26h 12m,23h 12m,20h 06m,17h 26m,14h 44m,12h 16m,9h 56m,7h 47m,6h 03m,4h 34m,2h 31m,1h 13m
Angus,15,114716.1,31h 52m,,,,,,31h 52m,29h 03m,26h 39m,24h 14m,22h 25m,20h 42m,19h 20m,17h 45m,16h 11m,14h 31m,12h 13m,9h 54m,6h 16m
Anmore,15,161418.3,44h 50m,,,,,,44h 50m,41h 57m,38h 58m,35h 46m,32h 19m,28h 15m,23h 59m,20h 43m,18h 07m,16h 09m,14h 32m,12h 11m,8h 35m
Anten Mills,15,113943.4,31h 39m,,,,,,31h 39m,28h 51m,26h 28m,24h 05m,22h 17m,20h 37m,19h 14m,17h 41m,16h 07m,14h 25m,12h 12m,9h 52m,6h 12m
Antigonish,15,127508.3,35h 25m,,,,,,35h 25m,31h 27m,27h 44m,23h 47m,20h 08m,16h 14m,12h 19m,8h 09m,6h 41m,5h 02m,4h 07m,3h 03m,1h 36m
Appleton,15,165253.5,45h 54m,,,,,,45h 54m,41h 30m,37h 17m,32h 46m,28h 26m,23h 43m,18h 47m,13h 22m,10h 33m,9h 07m,7h 12m,5h 31m,4h 20m
Applewood Park,15,125250.8,34h 48m,,,,,,34h 48m,32h 05m,29h 16m,26h 18m,23h 08m,19h 23m,15h 30m,12h 43m,10h 05m,8h 29m,6h 40m,4h 30m,2h 10m
Arbour Lake,15,126004.1,35h 00m,,,,,,35h 00m,32h 17m,29h 28m,26h 29m,23h 17m,19h 31m,15h 37m,12h 48m,10h 11m,8h 36m,6h 43m,4h 35m,2h 10m
Arbutus Ridge,15,162366.7,45h 06m,,,,,,45h 06m,42h 13m,39h 13m,36h 02m,32h 35m,28h 30m,24h 14m,20h 58m,18h 22m,16h 23m,14h 45m,12h 24m,8h 46m
Arctic Bay,1,0.0,0h 00m,,,,,,,,,,,,,,,,,,
Ardmore,15,169140.3,46h 59m,,,,,,46h 59m,44h 05m,41h 05m,37h 52m,34h 25m,30h 19m,26h 02m,22h 44m,20h 06m,18h 04m,16h 22m,13h 55m,10h 07m
Ardrossan,15,123660.5,34h 21m,,,,,,34h 21m,31h 35m,28h 43m,25h 41m,22h 26m,18h 35m,14h 35m,11h 40m,9h 20m,7h 55m,6h 11m,4h 43m,2h 41m
Armstrong,15,146559.5,40h 43m,,,,,,40h 43m,37h 54m,34h 59m,31h 52m,28h 32m,24h 36m,20h 29m,17h 24m,14h 41m,12h 59m,11h 07m,8h 45m,5h 23m
Arnprior,15,110435.6,30h 41m,,,,,,30h 41m,27h 38m,24h 58m,22h 15m,20h 04m,17h 55m,16h 08m,14h 37m,12h 42m,10h 49m,8h 40m,6h 38m,3h 27m
Val-des-Sources,15,108367.7,30h 06m,,,,,,30h 06m,26h 42m,23h 38m,20h 28m,17h 43m,14h 55m,12h 19m,9h 49m,7h 46m,6h 09m,4h 51m,3h 03m,2h 12m
Ashcroft,15,151293.5,42h 02m,,,,,,42h 02m,39h 08m,36h 08m,32h 57m,29h 30m,25h 25m,21h 09m,17h 52m,15h 20m,13h 21m,11h 48m,9h 47m,6h 44m
Assiniboia,15,117059.1,32h 31m,,,,,,32h 31m,30h 07m,27h 41m,25h 08m,22h 28m,19h 18m,16h 10m,13h 29m,10h 58m,8h 23m,5h 43m,4h 25m,2h 51m
Athabasca,15,126483.5,35h 08m,,,,,,35h 08m,32h 19m,29h 23m,26h 16m,22h 55m,18h 57m,14h 49m,11h 43m,9h 40m,8h 02m,6h 28m,5h 01m,3h 18m
Athens,15,113398.8,31h 30m,,,,,,31h 30m,28h 23m,25h 39m,22h 50m,20h 33m,18h 16m,16h 20m,14h 39m,12h 44m,10h 52m,8h 47m,6h 50m,3h 47m
Atikokan,15,108935.9,30h 16m,,,,,,30h 16m,28h 44m,27h 04m,25h 29m,23h 56m,22h 17m,20h 26m,18h 13m,15h 43m,13h 01m,10h 43m,8h 28m,6h 09m
Attawapiskat,15,167370.3,46h 30m,,,,,,46h 30m,44h 03m,42h 06m,40h 13m,38h 46m,37h 17m,35h 40m,34h 02m,32h 00m,29h 53m,27h 03m,23h 30m,18h 48m
Aurora,15,114187.4,31h 43m,,,,,,31h 43m,28h 51m,26h 24m,23h 56m,22h 02m,20h 15m,18h 53m,17h 15m,15h 45m,13h 58m,11h 43m,9h 31m,6h 05m
Austin Heights,15,160762.5,44h 39m,,,,,,44h 39m,41h 47m,38h 47m,35h 35m,32h 09m,28h 05m,23h 49m,20h 33m,17h 57m,15h 59m,14h 22m,12h 02m,8h 27m
Ayer's Cliff,15,109012.9,30h 17m,,,,,,30h 17m,26h 55m,23h 54m,20h 45m,18h 04m,15h 20m,12h 48m,10h 24m,8h 17m,6h 34m,5h 08m,3h 07m,1h 54m
Aylmer,15,121919.9,33h 52m,,,,,,33h 52m,30h 59m,28h 30m,26h 00m,24h 04m,22h 14m,20h 49m,19h 10m,17h 39m,15h 46m,13h 27m,11h 11m,7h 36m
Ayr,15,118390.1,32h 53m,,,,,,32h 53m,30h 00m,27h 32m,25h 02m,23h 07m,21h 17m,19h 53m,18h 15m,16h 45m,14h 53m,12h 37m,10h 24m,6h 54m
Azilda,15,108917.4,30h 15m,,,,,,30h 15m,27h 39m,25h 30m,23h 23m,21h 54m,20h 36m,19h 03m,17h 38m,16h 11m,14h 19m,12h 35m,10h 08m,6h 22m
Baddeck,15,131891.2,36h 38m,,,,,,36h 38m,32h 38m,28h 51m,24h 51m,21h 08m,17h 09m,13h 07m,8h 50m,7h 28m,5h 57m,5h 05m,4h 03m,2h 49m
Baden,15,118648.2,32h 57m,,,,,,32h 57m,30h 04m,27h 36m,25h 07m,23h 11m,21h 21m,19h 57m,18h 19m,16h 49m,14h 57m,12h 40m,10h 27m,6h 57m
Badger,15,161388.4,44h 50m,,,,,,44h 50m,40h 27m,36h 15m,31h 45m,27h 27m,22h 46m,17h 53m,12h 31m,9h 46m,8h 27m,6h 39m,5h 10m,4h 19m
Baie-Comeau,15,120766.7,33h 33m,,,,,,33h 33m,30h 00m,26h 46m,23h 23m,20h 24m,17h 18m,14h 21m,11h 25m,9h 49m,8h 26m,7h 58m,7h 21m,6h 29m
Baie-D'Urfé,15,110678.2,30h 45m,,,,,,30h 45m,27h 32m,24h 41m,21h 46m,19h 19m,16h 52m,14h 43m,12h 46m,10h 55m,9h 10m,7h 14m,5h 30m,2h 49m
Balgonie,15,112222.1,31h 10m,,,,,,31h 10m,28h 50m,26h 28m,24h 01m,21h 27m,18h 25m,15h 26m,12h 45m,10h 27m,7h 53m,5h 15m,4h 04m,2h 33m
Ballantrae,15,114476.7,31h 48m,,,,,,31h 48m,28h 55m,26h 27m,23h 58m,22h 03m,20h 14m,18h 51m,17h 13m,15h 44m,13h 54m,11h 40m,9h 29m,6h 05m
Balls Creek,15,134183.7,37h 16m,,,,,,37h 16m,33h 15m,29h 27m,25h 25m,21h 41m,17h 40m,13h 36m,9h 15m,7h 49m,6h 27m,5h 31m,4h 22m,3h 24m
Bancroft,15,113449.0,31h 31m,,,,,,31h 31m,28h 34m,26h 01m,23h 26m,21h 25m,19h 28m,17h 54m,16h 18m,14h 43m,12h 45m,10h 30m,8h 19m,4h 53m
Banff,15,129708.3,36h 02m,,,,,,36h 02m,33h 17m,30h 26m,27h 25m,24h 11m,20h 22m,16h 25m,13h 32m,10h 51m,9h 14m,7h 14m,4h 55m,2h 09m
Banff Trail,15,125601.5,34h 53m,,,,,,34h 53m,32h 10m,29h 21m,26h 23m,23h 12m,19h 26m,15h 32m,12h 44m,10h 06m,8h 31m,6h 40m,4h 31m,2h 07m
Bankview,15,125803.8,34h 57m,,,,,,34h 57m,32h 13m,29h 25m,26h 26m,23h 15m,19h 29m,15h 36m,12h 48m,10h 10m,8h 34m,6h 43m,4h 34m,2h 10m
Barraute,15,102715.9,28h 32m,,,,,,28h 32m,25h 41m,23h 16m,20h 49m,18h 57m,17h 12m,15h 26m,13h 45m,12h 14m,10h 27m,8h 13m,5h 03m,1h 53m
Barrhead,15,126887.3,35h 15m,,,,,,35h 15m,32h 25m,29h 29m,26h 22m,23h 01m,19h 03m,14h 55m,11h 49m,9h 40m,8h 00m,6h 31m,5h 01m,3h 02m
Barrie,15,113803.8,31h 37m,,,,,,31h 37m,28h 48m,26h 24m,24h 00m,22h 11m,20h 29m,19h 07m,17h 33m,15h 59m,14h 18m,12h 02m,9h 44m,6h 05m
Barrière,15,149122.0,41h 25m,,,,,,41h 25m,38h 31m,35h 30m,32h 17m,28h 48m,24h 42m,20h 23m,17h 03m,14h 38m,12h 36m,11h 01m,8h 44m,5h 36m
Bassano,15,122849.5,34h 07m,,,,,,34h 07m,31h 28m,28h 44m,25h 52m,22h 47m,19h 09m,15h 25m,12h 49m,10h 01m,8h 10m,6h 29m,4h 06m,2h 09m
Batchelor Hills,15,148420.7,41h 14m,,,,,,41h 14m,38h 22m,35h 23m,32h 13m,28h 48m,24h 46m,20h 33m,17h 20m,14h 50m,12h 57m,11h 22m,9h 12m,5h 57m
Bath,15,114536.9,31h 49m,,,,,,31h 49m,28h 45m,26h 05m,23h 21m,21h 08m,18h 58m,17h 09m,15h 38m,13h 42m,11h 49m,9h 41m,7h 41m,4h 32m
Batiscan,15,106750.4,29h 39m,,,,,,29h 39m,26h 15m,23h 10m,19h 58m,17h 13m,14h 23m,11h 46m,9h 14m,7h 13m,5h 41m,4h 27m,2h 45m,2h 04m
Battleford,15,118206.4,32h 50m,,,,,,32h 50m,30h 16m,27h 37m,24h 51m,21h 54m,18h 25m,14h 52m,12h 30m,9h 44m,7h 53m,6h 14m,4h 23m,2h 44m
Bay Roberts,15,175145.2,48h 39m,,,,,,48h 39m,44h 13m,39h 57m,35h 23m,30h 59m,26h 12m,21h 11m,15h 39m,12h 42m,11h 05m,8h 54m,6h 49m,4h 44m
Bay St. George South,15,150892.7,41h 55m,,,,,,41h 55m,37h 38m,33h 33m,29h 11m,25h 02m,20h 33m,15h 53m,10h 49m,8h 26m,7h 36m,6h 30m,6h 02m,5h 30m
Bayview,15,125666.3,34h 54m,,,,,,34h 54m,32h 11m,29h 23m,26h 25m,23h 14m,19h 28m,15h 35m,12h 48m,10h 09m,8h 33m,6h 42m,4h 32m,2h 09m
Bayview Village,15,114369.7,31h 46m,,,,,,31h 46m,28h 53m,26h 24m,23h 54m,21h 58m,20h 08m,18h 43m,17h 07m,15h 39m,13h 47m,11h 34m,9h 26m,6h 05m
Beaconsfield,15,110489.0,30h 41m,,,,,,30h 41m,27h 29m,24h 38m,21h 43m,19h 16m,16h 50m,14h 40m,12h 44m,10h 53m,9h 09m,7h 12m,5h 29m,2h 49m
Beauharnois,15,105953.2,29h 26m,,,,,,29h 26m,26h 07m,23h 08m,20h 03m,17h 25m,14h 46m,12h 20m,10h 03m,7h 50m,6h 00m,4h 24m,2h 08m,0h 30m
Beaumont,15,125079.1,34h 45m,,,,,,34h 45m,31h 58m,29h 06m,26h 03m,22h 46m,18h 54m,14h 53m,11h 55m,9h 37m,8h 09m,6h 26m,4h 59m,2h 51m
Beausejour,15,108088.5,30h 01m,,,,,,30h 01m,28h 06m,26h 13m,24h 20m,22h 25m,20h 11m,17h 31m,14h 55m,12h 19m,9h 39m,7h 12m,4h 42m,2h 09m
Beaverlodge,15,134030.6,37h 14m,,,,,,37h 14m,34h 14m,31h 07m,27h 46m,24h 09m,19h 51m,15h 20m,11h 44m,9h 54m,7h 33m,5h 41m,4h 30m,3h 04m
Bécancour,15,106653.4,29h 38m,,,,,,29h 38m,26h 14m,23h 11m,20h 01m,17h 17m,14h 30m,11h 55m,9h 27m,7h 24m,5h 47m,4h 30m,2h 43m,1h 52m
Beddington Heights,15,125552.5,34h 53m,,,,,,34h 53m,32h 09m,29h 20m,26h 22m,23h 11m,19h 25m,15h 31m,12h 43m,10h 06m,8h 31m,6h 40m,4h 33m,2h 09m
Bedford,15,107567.9,29h 53m,,,,,,29h 53m,26h 33m,23h 33m,20h 27m,17h 48m,15h 06m,12h 39m,10h 19m,8h 09m,6h 24m,4h 53m,2h 47m,1h 24m
Beeton,15,114646.8,31h 51m,,,,,,31h 51m,29h 00m,26h 34m,24h 08m,22h 16m,20h 31m,19h 11m,17h 32m,16h 00m,14h 17m,12h 00m,9h 45m,6h 13m
Belcarra,15,164337.2,45h 39m,,,,,,45h 39m,42h 49m,39h 52m,36h 44m,33h 22m,29h 22m,25h 13m,22h 04m,19h 39m,17h 53m,16h 35m,14h 42m,11h 52m
Belfast,15,127064.7,35h 18m,,,,,,35h 18m,31h 21m,27h 39m,23h 43m,20h 06m,16h 14m,12h 20m,8h 13m,6h 24m,4h 46m,3h 16m,2h 23m,1h 07m
Bella Bella,15,201765.4,56h 03m,,,,,,56h 03m,53h 03m,49h 55m,46h 35m,42h 58m,38h 40m,34h 09m,30h 33m,28h 22m,25h 57m,23h 58m,22h 41m,20h 59m
Belleville,15,114710.7,31h 52m,,,,,,31h 52m,28h 51m,26h 15m,23h 35m,21h 28m,19h 24m,17h 43m,16h 14m,14h 28m,12h 40m,10h 38m,8h 46m,5h 52m
Bells Corners,15,110537.5,30h 42m,,,,,,30h 42m,27h 37m,24h 55m,22h 09m,19h 54m,17h 40m,15h 48m,14h 12m,12h 16m,10h 23m,8h 16m,6h 17m,3h 10m
Belmont,15,121391.7,33h 43m,,,,,,33h 43m,30h 50m,28h 21m,25h 52m,23h 56m,22h 05m,20h 41m,19h 02m,17h 31m,15h 38m,13h 20m,11h 04m,7h 30m
Beloeil,15,105403.7,29h 17m,,,,,,29h 17m,25h 57m,22h 57m,19h 51m,17h 12m,14h 31m,12h 04m,9h 45m,7h 36m,5h 52m,4h 24m,2h 21m,1h 04m
Bendale,15,114392.2,31h 47m,,,,,,31h 47m,28h 53m,26h 23m,23h 53m,21h 56m,20h 05m,18h 39m,17h 02m,15h 35m,13h 41m,11h 29m,9h 22m,6h 02m
Bentley,15,127329.4,35h 22m,,,,,,35h 22m,32h 35m,29h 42m,26h 38m,23h 21m,19h 27m,15h 25m,12h 25m,10h 03m,8h 32m,6h 44m,5h 07m,2h 44m
Berthierville,15,105433.8,29h 17m,,,,,,29h 17m,25h 57m,22h 56m,19h 50m,17h 10m,14h 28m,11h 59m,9h 39m,7h 31m,5h 50m,4h 25m,2h 25m,1h 14m
Berwick,15,132611.4,36h 50m,,,,,,36h 50m,32h 54m,29h 13m,25h 19m,21h 43m,17h 53m,14h 01m,9h 57m,8h 14m,6h 41m,5h 23m,4h 04m,2h 37m
Berwyn,15,134589.1,37h 23m,,,,,,37h 23m,34h 22m,31h 13m,27h 50m,24h 10m,19h 50m,15h 15m,11h 35m,9h 44m,7h 42m,5h 45m,4h 17m,2h 47m
Bethany,15,113877.9,31h 38m,,,,,,31h 38m,28h 43m,26h 13m,23h 41m,21h 43m,19h 50m,18h 21m,16h 45m,15h 17m,13h 21m,11h 09m,9h 02m,5h 42m
Big Eddy,15,141386.8,39h 16m,,,,,,39h 16m,36h 29m,33h 35m,30h 31m,27h 13m,23h 18m,19h 15m,16h 14m,13h 33m,11h 57m,9h 47m,7h 26m,4h 13m
Biggar,15,117977.2,32h 46m,,,,,,32h 46m,30h 14m,27h 38m,24h 54m,22h 00m,18h 35m,15h 07m,12h 50m,9h 57m,7h 57m,6h 06m,4h 21m,2h 45m
Big River,15,121407.8,33h 43m,,,,,,33h 43m,31h 10m,28h 32m,25h 46m,22h 49m,19h 21m,15h 50m,13h 29m,10h 43m,8h 43m,7h 04m,5h 14m,3h 03m
Binbrook,15,117879.6,32h 45m,,,,,,32h 45m,29h 52m,27h 23m,24h 54m,22h 58m,21h 09m,19h 44m,18h 06m,16h 36m,14h 45m,12h 29m,10h 16m,6h 48m
Blackburn Hamlet,15,110776.9,30h 46m,,,,,,30h 46m,27h 40m,24h 56m,22h 09m,19h 52m,17h 37m,15h 41m,14h 02m,12h 07m,10h 15m,8h 09m,6h 11m,3h 07m
Black Diamond,15,126339.4,35h 06m,,,,,,35h 06m,32h 23m,29h 35m,26h 37m,23h 26m,19h 41m,15h 49m,13h 02m,10h 21m,8h 41m,6h 50m,4h 33m,2h 08m
Blackfalds,15,126810.8,35h 14m,,,,,,35h 14m,32h 27m,29h 34m,26h 31m,23h 15m,19h 23m,15h 21m,12h 23m,9h 59m,8h 30m,6h 37m,4h 55m,2h 33m
Blackstock,15,113728.3,31h 35m,,,,,,31h 35m,28h 42m,26h 12m,23h 41m,21h 44m,19h 53m,18h 27m,16h 50m,15h 24m,13h 29m,11h 17m,9h 11m,5h 52m
Blainville,15,104451.7,29h 01m,,,,,,29h 01m,25h 44m,22h 47m,19h 45m,17h 11m,14h 35m,12h 14m,10h 03m,7h 50m,6h 01m,4h 25m,2h 10m,0h 32m
Blairmore,15,127893.3,35h 32m,,,,,,35h 32m,32h 50m,30h 02m,27h 06m,23h 56m,20h 13m,16h 22m,13h 38m,10h 45m,8h 50m,6h 59m,4h 15m,1h 39m
Blaketown,15,173414.5,48h 10m,,,,,,48h 10m,43h 44m,39h 29m,34h 54m,30h 31m,25h 44m,20h 43m,15h 12m,12h 15m,10h 39m,8h 29m,6h 26m,4h 24m
Blind Bay,15,146139.1,40h 36m,,,,,,40h 36m,37h 46m,34h 51m,31h 44m,28h 23m,24h 26m,20h 18m,17h 13m,14h 32m,12h 49m,11h 00m,8h 43m,5h 22m
Blind River,15,109072.2,30h 18m,,,,,,30h 18m,27h 50m,25h 52m,23h 57m,22h 42m,21h 18m,20h 01m,18h 28m,16h 50m,15h 24m,13h 27m,10h 41m,7h 48m
Bloomfield,15,172022.3,47h 47m,,,,,,47h 47m,43h 21m,39h 06m,34h 32m,30h 09m,25h 23m,20h 23m,14h 53m,11h 57m,10h 23m,8h 15m,6h 15m,4h 33m
Blueridge,15,162057.5,45h 01m,,,,,,45h 01m,42h 08m,39h 08m,35h 57m,32h 30m,28h 25m,24h 09m,20h 53m,18h 17m,16h 18m,14h 41m,12h 20m,8h 42m
Bluewater,15,121927.9,33h 52m,,,,,,33h 52m,31h 01m,28h 35m,26h 09m,24h 17m,22h 31m,21h 10m,19h 31m,17h 58m,16h 13m,13h 54m,11h 35m,7h 57m
Boisbriand,15,104572.8,29h 03m,,,,,,29h 03m,25h 45m,22h 49m,19h 46m,17h 11m,14h 35m,12h 13m,10h 02m,7h 49m,6h 01m,4h 25m,2h 11m,0h 36m
Bois-des-Filion,15,109749.5,30h 29m,,,,,,30h 29m,27h 17m,24h 27m,21h 33m,19h 07m,16h 42m,14h 34m,12h 39m,10h 49m,9h 06m,7h 13m,5h 32m,2h 57m
Boissevain,15,112380.0,31h 13m,,,,,,31h 13m,29h 05m,26h 57m,24h 47m,22h 32m,19h 54m,17h 23m,14h 20m,12h 00m,9h 40m,6h 25m,4h 20m,2h 29m
Bolton,15,114889.8,31h 55m,,,,,,31h 55m,29h 03m,26h 36m,24h 08m,22h 14m,20h 26m,19h 05m,17h 26m,15h 56m,14h 09m,11h 53m,9h 41m,6h 14m
Bon Accord,15,124669.1,34h 38m,,,,,,34h 38m,31h 51m,28h 57m,25h 54m,22h 36m,18h 43m,14h 40m,11h 40m,9h 27m,7h 57m,6h 16m,4h 59m,2h 52m
Bonavista,15,179849.2,49h 57m,,,,,,49h 57m,45h 35m,41h 24m,36h 54m,32h 36m,27h 56m,23h 04m,17h 43m,14h 59m,13h 41m,11h 56m,10h 30m,9h 44m
Bonavista Downs,15,125423.9,34h 50m,,,,,,34h 50m,32h 07m,29h 19m,26h 21m,23h 10m,19h 25m,15h 33m,12h 45m,10h 07m,8h 31m,6h 41m,4h 30m,2h 09m
Bonnyville,15,123090.1,34h 12m,,,,,,34h 12m,31h 28m,28h 39m,25h 41m,22h 29m,18h 43m,14h 49m,12h 01m,9h 36m,8h 04m,6h 16m,4h 34m,2h 53m
Borden-Carleton,15,123689.6,34h 21m,,,,,,34h 21m,30h 27m,26h 47m,22h 54m,19h 20m,15h 32m,11h 43m,7h 43m,5h 55m,4h 26m,2h 42m,1h 36m,0h 20m
Bothwell,15,124826.1,34h 40m,,,,,,34h 40m,31h 47m,29h 18m,26h 48m,24h 51m,23h 01m,21h 35m,19h 55m,18h 23m,16h 29m,14h 09m,11h 50m,8h 11m
Botwood,15,164031.5,45h 34m,,,,,,45h 34m,41h 11m,36h 58m,32h 27m,28h 08m,23h 26m,18h 31m,13h 08m,10h 21m,8h 58m,7h 07m,5h 31m,4h 30m
Boucherville,15,105059.0,29h 11m,,,,,,29h 11m,25h 52m,22h 53m,19h 48m,17h 10m,14h 30m,12h 05m,9h 48m,7h 38m,5h 53m,4h 22m,2h 16m,0h 54m
Bouchette,15,104934.7,29h 09m,,,,,,29h 09m,26h 03m,23h 20m,20h 34m,18h 18m,16h 04m,14h 10m,12h 17m,10h 10m,8h 08m,6h 14m,3h 30m,1h 06m
Bouctouche,15,121587.2,33h 46m,,,,,,33h 46m,29h 54m,26h 17m,22h 28m,18h 58m,15h 14m,11h 32m,7h 38m,6h 03m,4h 47m,3h 04m,1h 38m,0h 55m
Bourget,15,111299.6,30h 55m,,,,,,30h 55m,27h 47m,25h 01m,22h 11m,19h 52m,17h 33m,15h 34m,13h 50m,11h 55m,10h 04m,7h 59m,6h 03m,3h 02m
