from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
North Tetagouche,15,119522.8,33h 12m,,,,,,33h 12m,29h 24m,25h 53m,22h 10m,18h 47m,15h 13m,11h 41m,8h 02m,6h 49m,5h 20m,4h 00m,2h 14m,1h 43m
Robertville,15,119617.9,33h 14m,,,,,,33h 14m,29h 26m,25h 54m,22h 11m,18h 48m,15h 14m,11h 42m,8h 02m,6h 50m,5h 21m,4h 01m,2h 14m,1h 42m
Saint-Sauveur,15,120671.1,33h 31m,,,,,,33h 31m,29h 43m,26h 10m,22h 26m,19h 02m,15h 26m,11h 52m,8h 10m,6h 53m,5h 27m,4h 02m,2h 18m,1h 51m
Saumarez,15,122298.3,33h 58m,,,,,,33h 58m,30h 09m,26h 36m,22h 51m,19h 26m,15h 49m,12h 14m,8h 30m,7h 11m,5h 45m,4h 17m,2h 34m,2h 08m
Leech,15,122520.8,34h 02m,,,,,,34h 02m,30h 13m,26h 39m,22h 54m,19h 28m,15h 51m,12h 15m,8h 30m,7h 10m,5h 45m,4h 15m,2h 33m,2h 09m
Fallingbrook,15,111025.1,30h 50m,,,,,,30h 50m,27h 44m,25h 00m,22h 12m,19h 55m,17h 39m,15h 43m,14h 03m,12h 08m,10h 16m,8h 10m,6h 12m,3h 08m
Springbrook,15,126633.5,35h 11m,,,,,,35h 11m,32h 25m,29h 33m,26h 31m,23h 15m,19h 24m,15h 25m,12h 29m,10h 02m,8h 36m,6h 42m,4h 56m,2h 31m
Westlake,15,132730.3,36h 52m,,,,,,36h 52m,33h 53m,30h 47m,27h 27m,23h 51m,19h 35m,15h 06m,11h 32m,9h 45m,7h 29m,5h 42m,4h 22m,3h 05m
Grand Centre,15,123608.6,34h 20m,,,,,,34h 20m,31h 37m,28h 48m,25h 49m,22h 37m,18h 51m,14h 57m,12h 08m,9h 42m,8h 08m,6h 18m,4h 33m,2h 56m
Heritage Pointe,15,125646.8,34h 54m,,,,,,34h 54m,32h 11m,29h 23m,26h 26m,23h 15m,19h 31m,15h 38m,12h 52m,10h 13m,8h 35m,6h 46m,4h 33m,2h 12m
Aldergrove East,15,159236.9,44h 14m,,,,,,44h 14m,41h 21m,38h 22m,35h 10m,31h 44m,27h 40m,23h 25m,20h 09m,17h 34m,15h 36m,14h 01m,11h 42m,8h 09m
Lake Country,15,149106.0,41h 25m,,,,,,41h 25m,38h 36m,35h 40m,32h 34m,29h 13m,25h 15m,21h 08m,18h 02m,15h 19m,13h 35m,11h 43m,9h 20m,5h 55m
Fairwinds,15,170565.7,47h 23m,,,,,,47h 23m,44h 29m,41h 28m,38h 16m,34h 48m,30h 42m,26h 24m,23h 06m,20h 27m,18h 25m,16h 42m,14h 14m,10h 24m
Cross Lake 19A,15,133160.5,36h 59m,,,,,,36h 59m,34h 48m,32h 36m,30h 21m,28h 00m,25h 16m,22h 37m,19h 39m,17h 24m,14h 52m,11h 45m,8h 46m,6h 20m
McEwen,15,121250.9,33h 41m,,,,,,33h 41m,29h 49m,26h 12m,22h 23m,18h 54m,15h 11m,11h 29m,7h 37m,5h 56m,4h 41m,3h 02m,1h 38m,0h 42m
Starlight Village,15,118494.4,32h 55m,,,,,,32h 55m,29h 09m,25h 39m,21h 58m,18h 38m,15h 07m,11h 38m,8h 03m,6h 37m,5h 14m,4h 01m,2h 21m,2h 00m
Hayes Subdivision,15,132100.7,36h 42m,,,,,,36h 42m,32h 46m,29h 05m,25h 10m,21h 35m,17h 44m,13h 53m,9h 49m,8h 07m,6h 33m,5h 16m,3h 57m,2h 31m
Eskasoni 3,15,133328.7,37h 02m,,,,,,37h 02m,33h 01m,29h 15m,25h 14m,21h 30m,17h 31m,13h 28m,9h 10m,7h 47m,6h 18m,5h 24m,4h 20m,3h 08m
Golden,15,116090.0,32h 15m,,,,,,32h 15m,30h 33m,28h 56m,27h 09m,25h 15m,23h 21m,21h 04m,18h 48m,16h 09m,13h 06m,11h 03m,8h 36m,5h 18m
Valley East,15,109795.6,30h 30m,,,,,,30h 30m,27h 53m,25h 43m,23h 35m,22h 05m,20h 46m,19h 14m,17h 50m,16h 23m,14h 29m,12h 45m,10h 18m,6h 28m
Haliburton Village,15,113411.3,31h 30m,,,,,,31h 30m,28h 38m,26h 10m,23h 41m,21h 46m,19h 58m,18h 35m,16h 56m,15h 25m,13h 35m,11h 18m,9h 04m,5h 34m
