from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
100 Mile House,20,135887.2,37h 45m,37h 45m,35h 20m,33h 05m,30h 37m,28h 02m,25h 08m,22h 16m,19h 59m,17h 29m,14h 38m,12h 41m,10h 55m,9h 35m,8h 10m,6h 38m,5h 16m,4h 09m,3h 04m
Fort St. James,20,138716.5,38h 32m,38h 32m,36h 05m,33h 47m,31h 17m,28h 38m,25h 41m,22h 45m,20h 23m,17h 48m,14h 51m,13h 07m,11h 15m,9h 46m,8h 50m,7h 46m,6h 21m,4h 26m,3h 22m
Abbotsford,20,141258.0,39h 14m,39h 14m,36h 52m,34h 40m,32h 16m,29h 43m,26h 53m,24h 06m,21h 55m,19h 31m,16h 48m,14h 39m,13h 02m,11h 35m,9h 57m,7h 54m,6h 21m,4h 28m,3h 07m
Aberdeen,20,131684.1,36h 35m,36h 35m,34h 14m,32h 03m,29h 41m,27h 11m,24h 24m,21h 39m,19h 31m,17h 11m,14h 32m,12h 29m,10h 59m,9h 36m,8h 08m,6h 18m,5h 04m,3h 39m,3h 04m
Acadia,20,112704.8,31h 18m,31h 18m,29h 07m,27h 08m,24h 58m,22h 41m,20h 09m,17h 43m,15h 55m,13h 59m,11h 48m,9h 51m,8h 37m,7h 29m,6h 21m,5h 06m,3h 49m,3h 11m,2h 09m
Acton,20,116453.7,32h 21m,32h 21m,30h 13m,28h 24m,26h 37m,24h 44m,23h 02m,21h 25m,19h 50m,18h 05m,16h 42m,15h 07m,13h 46m,12h 16m,10h 39m,8h 56m,6h 40m,4h 50m,2h 49m
Acton Vale,20,114601.4,31h 50m,31h 50m,29h 28m,27h 23m,25h 19m,23h 06m,21h 01m,18h 58m,16h 54m,14h 34m,12h 30m,10h 38m,9h 06m,8h 01m,6h 58m,5h 59m,4h 43m,3h 35m,2h 45m
Adstock,20,118537.8,32h 56m,32h 56m,30h 30m,28h 21m,26h 12m,23h 54m,21h 44m,19h 34m,17h 23m,14h 54m,12h 40m,10h 34m,9h 07m,8h 08m,7h 11m,6h 22m,5h 20m,4h 32m,3h 15m
Agassiz,20,139695.1,38h 48m,38h 48m,36h 26m,34h 14m,31h 50m,29h 18m,26h 29m,23h 42m,21h 31m,19h 08m,16h 25m,14h 17m,12h 42m,11h 17m,9h 40m,7h 40m,6h 10m,4h 21m,3h 08m
Agincourt North,20,114505.5,31h 48m,31h 48m,29h 40m,27h 51m,26h 03m,24h 09m,22h 26m,20h 48m,19h 12m,17h 26m,16h 01m,14h 28m,13h 05m,11h 37m,10h 02m,8h 23m,6h 10m,4h 27m,2h 27m
Ahuntsic-Cartierville,20,112834.5,31h 21m,31h 21m,29h 01m,26h 59m,24h 58m,22h 49m,20h 48m,18h 50m,16h 51m,14h 38m,12h 41m,10h 57m,9h 21m,8h 12m,7h 02m,5h 55m,4h 28m,3h 28m,2h 21m
Airdrie,20,113078.8,31h 25m,31h 25m,29h 13m,27h 12m,25h 02m,22h 44m,20h 11m,17h 43m,15h 54m,13h 56m,11h 44m,9h 49m,8h 37m,7h 27m,6h 23m,5h 08m,3h 47m,3h 06m,2h 12m
Ajax,20,114088.9,31h 41m,31h 41m,29h 32m,27h 42m,25h 54m,23h 59m,22h 15m,20h 36m,18h 59m,17h 11m,15h 45m,14h 13m,12h 47m,11h 20m,9h 46m,8h 08m,5h 57m,4h 16m,2h 16m
Aklavik,20,267283.2,74h 15m,74h 15m,71h 28m,68h 49m,65h 55m,62h 49m,59h 21m,55h 51m,52h 49m,49h 26m,45h 34m,42h 56m,40h 11m,37h 07m,34h 17m,30h 33m,26h 32m,21h 10m,12h 36m
Albanel,20,118327.5,32h 52m,32h 52m,30h 30m,28h 27m,26h 23m,24h 11m,22h 07m,20h 05m,18h 02m,15h 44m,13h 41m,11h 50m,10h 16m,9h 25m,8h 30m,7h 30m,6h 14m,4h 50m,3h 44m
Alberton,20,139933.3,38h 52m,38h 52m,36h 08m,33h 39m,31h 08m,28h 24m,25h 45m,23h 03m,20h 13m,17h 00m,13h 53m,10h 45m,9h 31m,8h 12m,6h 43m,5h 07m,3h 14m,2h 24m,1h 19m
Albion,20,142748.3,39h 39m,39h 39m,37h 16m,35h 04m,32h 40m,30h 07m,27h 17m,24h 30m,22h 17m,19h 53m,17h 10m,15h 00m,13h 23m,11h 55m,10h 15m,8h 11m,6h 35m,4h 38m,3h 11m
Alderwood,20,114640.8,31h 51m,31h 51m,29h 43m,27h 54m,26h 07m,24h 14m,22h 32m,20h 55m,19h 20m,17h 35m,16h 12m,14h 38m,13h 17m,11h 47m,10h 11m,8h 29m,6h 14m,4h 27m,2h 29m
Aldouane,20,131879.0,36h 38m,36h 38m,33h 56m,31h 29m,29h 00m,26h 19m,23h 43m,21h 03m,18h 17m,15h 09m,12h 08m,9h 06m,8h 03m,6h 53m,5h 40m,4h 17m,2h 27m,1h 48m,1h 18m
Alexandria,20,113661.0,31h 34m,31h 34m,29h 16m,27h 15m,25h 15m,23h 07m,21h 08m,19h 11m,17h 14m,15h 03m,13h 10m,11h 29m,9h 47m,8h 31m,7h 12m,5h 53m,4h 09m,3h 04m,1h 21m
Alix,20,113289.8,31h 28m,31h 28m,29h 15m,27h 14m,25h 03m,22h 44m,20h 10m,17h 40m,15h 49m,13h 49m,11h 35m,9h 46m,8h 41m,7h 29m,6h 17m,5h 02m,3h 45m,3h 02m,2h 31m
Alliston,20,114245.0,31h 44m,31h 44m,29h 37m,27h 50m,26h 05m,24h 14m,22h 34m,21h 00m,19h 28m,17h 46m,16h 25m,14h 50m,13h 33m,12h 00m,10h 19m,8h 30m,6h 04m,4h 02m,2h 07m
Alma,20,118582.8,32h 56m,32h 56m,30h 32m,28h 25m,26h 17m,24h 01m,21h 52m,19h 45m,17h 36m,15h 10m,12h 59m,10h 58m,9h 27m,8h 39m,7h 50m,6h 56m,5h 49m,4h 31m,3h 37m
Altadore,20,113007.3,31h 23m,31h 23m,29h 12m,27h 12m,25h 02m,22h 46m,20h 13m,17h 46m,15h 58m,14h 01m,11h 50m,9h 53m,8h 38m,7h 30m,6h 22m,5h 08m,3h 49m,3h 12m,2h 10m
Altamont,20,144561.0,40h 09m,40h 09m,37h 46m,35h 34m,33h 09m,30h 36m,27h 45m,24h 57m,22h 44m,20h 19m,17h 35m,15h 24m,13h 45m,12h 15m,10h 33m,8h 25m,6h 46m,4h 42m,3h 04m
Altona,20,103999.3,28h 53m,28h 53m,27h 20m,26h 03m,24h 41m,23h 18m,21h 46m,20h 08m,18h 37m,17h 17m,16h 06m,14h 51m,13h 32m,12h 09m,10h 33m,8h 38m,6h 53m,5h 06m,2h 36m
Amherst,20,132851.0,36h 54m,36h 54m,34h 11m,31h 43m,29h 12m,26h 29m,23h 50m,21h 09m,18h 20m,15h 09m,12h 03m,8h 57m,7h 44m,6h 27m,5h 02m,3h 31m,1h 47m,1h 03m,0h 20m
Amherstburg,20,129957.0,36h 06m,36h 06m,33h 57m,32h 08m,30h 20m,28h 26m,26h 43m,25h 05m,23h 29m,21h 42m,20h 17m,18h 40m,17h 16m,15h 43m,14h 02m,12h 14m,9h 49m,7h 47m,5h 27m
Amigo Beach,20,112304.0,31h 12m,31h 12m,29h 06m,27h 20m,25h 36m,23h 46m,22h 08m,20h 35m,19h 06m,17h 27m,16h 02m,14h 30m,13h 11m,11h 40m,9h 54m,7h 58m,5h 24m,3h 08m,1h 19m
Amos,20,106158.6,29h 29m,29h 29m,27h 29m,25h 48m,24h 10m,22h 27m,20h 57m,19h 32m,18h 13m,16h 46m,15h 15m,13h 57m,12h 43m,11h 14m,9h 40m,7h 38m,4h 54m,2h 23m,1h 00m
Ange-Gardien,20,114390.3,31h 47m,31h 47m,29h 25m,27h 22m,25h 19m,23h 07m,21h 04m,19h 03m,17h 00m,14h 43m,12h 42m,10h 52m,9h 18m,8h 11m,7h 04m,6h 00m,4h 39m,3h 28m,2h 28m
Angus,20,113865.0,31h 38m,31h 38m,29h 32m,27h 45m,26h 01m,24h 10m,22h 31m,20h 57m,19h 27m,17h 47m,16h 24m,14h 50m,13h 34m,12h 01m,10h 18m,8h 26m,5h 57m,3h 49m,1h 56m
Anmore,20,143756.4,39h 56m,39h 56m,37h 33m,35h 21m,32h 56m,30h 24m,27h 33m,24h 45m,22h 33m,20h 08m,17h 24m,15h 15m,13h 36m,12h 08m,10h 27m,8h 21m,6h 44m,4h 44m,3h 13m
Anten Mills,20,112955.3,31h 23m,31h 23m,29h 17m,27h 31m,25h 48m,23h 58m,22h 20m,20h 48m,19h 19m,17h 40m,16h 16m,14h 45m,13h 28m,11h 57m,10h 13m,8h 20m,5h 50m,3h 39m,1h 47m
Antigonish,20,138511.3,38h 29m,38h 29m,35h 42m,33h 11m,30h 37m,27h 50m,25h 07m,22h 21m,19h 26m,16h 08m,12h 55m,9h 39m,8h 27m,7h 09m,5h 33m,3h 42m,2h 31m,1h 22m,0h 58m
Appleton,20,185255.7,51h 28m,51h 28m,48h 30m,45h 47m,42h 58m,39h 56m,36h 56m,33h 49m,30h 31m,26h 46m,23h 01m,19h 06m,17h 08m,14h 51m,12h 14m,11h 06m,9h 34m,8h 00m,6h 01m
Applewood Park,20,112583.3,31h 16m,31h 16m,29h 05m,27h 06m,24h 56m,22h 40m,20h 08m,17h 42m,15h 54m,13h 58m,11h 48m,9h 51m,8h 37m,7h 30m,6h 23m,5h 07m,3h 50m,3h 11m,2h 10m
Arbour Lake,20,113144.4,31h 26m,31h 26m,29h 14m,27h 14m,25h 03m,22h 46m,20h 13m,17h 46m,15h 57m,13h 59m,11h 47m,9h 50m,8h 37m,7h 26m,6h 19m,5h 07m,3h 46m,3h 09m,2h 10m
Arbutus Ridge,20,144611.5,40h 10m,40h 10m,37h 47m,35h 35m,33h 10m,30h 37m,27h 46m,24h 58m,22h 46m,20h 21m,17h 37m,15h 26m,13h 47m,12h 18m,10h 36m,8h 29m,6h 50m,4h 48m,3h 12m
Arctic Bay,1,0.0,0h 00m,,,,,,,,,,,,,,,,,,
Ardmore,20,151100.0,41h 58m,41h 58m,39h 35m,37h 21m,34h 56m,32h 22m,29h 30m,26h 41m,24h 27m,22h 00m,19h 14m,17h 02m,15h 20m,13h 47m,12h 00m,9h 47m,8h 00m,5h 45m,3h 47m
Ardrossan,20,111134.8,30h 52m,30h 52m,28h 39m,26h 37m,24h 25m,22h 06m,19h 31m,17h 00m,15h 08m,13h 07m,10h 51m,9h 08m,8h 10m,6h 57m,5h 38m,4h 34m,3h 19m,2h 42m,1h 49m
Armstrong,20,130878.4,36h 21m,36h 21m,34h 03m,31h 56m,29h 37m,27h 11m,24h 28m,21h 49m,19h 46m,17h 33m,15h 03m,12h 53m,11h 33m,10h 03m,8h 33m,6h 50m,5h 45m,4h 21m,3h 27m
Arnprior,20,111522.9,30h 59m,30h 59m,28h 44m,26h 49m,24h 54m,22h 52m,20h 59m,19h 11m,17h 23m,15h 22m,13h 41m,12h 13m,10h 28m,9h 04m,7h 36m,6h 04m,4h 02m,2h 35m,0h 46m
Val-des-Sources,20,116428.0,32h 20m,32h 20m,29h 57m,27h 51m,25h 44m,23h 29m,21h 22m,19h 17m,17h 09m,14h 46m,12h 38m,10h 40m,9h 10m,8h 08m,7h 07m,6h 12m,5h 02m,4h 01m,3h 00m
Ashcroft,20,134779.4,37h 26m,37h 26m,35h 04m,32h 53m,30h 30m,27h 58m,25h 09m,22h 23m,20h 12m,17h 50m,15h 09m,13h 05m,11h 30m,10h 19m,8h 46m,7h 04m,5h 45m,4h 21m,3h 38m
Assiniboia,20,107425.6,29h 50m,29h 50m,27h 56m,26h 15m,24h 26m,22h 33m,20h 27m,18h 31m,17h 02m,15h 35m,14h 04m,12h 21m,10h 39m,9h 13m,7h 26m,6h 14m,5h 18m,4h 21m,2h 52m
Athabasca,20,114031.3,31h 41m,31h 41m,29h 25m,27h 20m,25h 05m,22h 42m,20h 03m,17h 28m,15h 30m,13h 23m,11h 00m,9h 28m,8h 22m,7h 14m,5h 49m,4h 44m,3h 39m,2h 42m,1h 28m
Athens,20,115190.0,32h 00m,32h 00m,29h 43m,27h 45m,25h 47m,23h 41m,21h 45m,19h 52m,17h 59m,15h 53m,14h 05m,12h 31m,10h 47m,9h 27m,8h 04m,6h 39m,4h 47m,3h 35m,1h 47m
Atikokan,20,103235.3,28h 41m,28h 41m,27h 28m,26h 11m,25h 14m,24h 12m,23h 03m,21h 55m,20h 40m,19h 15m,17h 45m,16h 20m,14h 55m,13h 42m,12h 42m,11h 31m,10h 06m,8h 27m,6h 08m
Attawapiskat,20,165069.1,45h 51m,45h 51m,44h 01m,42h 32m,41h 07m,39h 39m,38h 25m,37h 09m,35h 53m,34h 43m,33h 27m,31h 58m,30h 16m,28h 28m,26h 14m,23h 45m,20h 57m,17h 23m,14h 33m
Aurora,20,113894.4,31h 38m,31h 38m,29h 31m,27h 43m,25h 56m,24h 04m,22h 22m,20h 46m,19h 12m,17h 28m,16h 07m,14h 32m,13h 12m,11h 41m,10h 04m,8h 20m,6h 02m,4h 11m,2h 15m
Austin Heights,20,143089.2,39h 45m,39h 45m,37h 22m,35h 10m,32h 45m,30h 13m,27h 22m,24h 34m,22h 22m,19h 58m,17h 14m,15h 04m,13h 26m,11h 57m,10h 17m,8h 11m,6h 35m,4h 36m,3h 05m
Ayer's Cliff,20,117149.9,32h 32m,32h 32m,30h 10m,28h 06m,26h 02m,23h 49m,21h 44m,19h 41m,17h 37m,15h 18m,13h 14m,11h 22m,9h 49m,8h 43m,7h 37m,6h 36m,5h 18m,4h 04m,3h 10m
Aylmer,20,121912.1,33h 52m,33h 52m,31h 44m,29h 55m,28h 07m,26h 14m,24h 31m,22h 54m,21h 18m,19h 33m,18h 09m,16h 33m,15h 11m,13h 39m,12h 01m,10h 16m,7h 56m,6h 02m,3h 53m
Ayr,20,118319.2,32h 52m,32h 52m,30h 44m,28h 55m,27h 08m,25h 15m,23h 32m,21h 55m,20h 20m,18h 35m,17h 11m,15h 36m,14h 15m,12h 44m,11h 07m,9h 23m,7h 06m,5h 14m,3h 11m
Azilda,20,106950.5,29h 43m,29h 43m,27h 45m,26h 08m,24h 34m,22h 55m,21h 30m,20h 12m,18h 59m,17h 39m,16h 07m,14h 57m,13h 34m,12h 04m,10h 30m,8h 31m,5h 57m,3h 25m,2h 10m
Baddeck,20,143202.5,39h 47m,39h 47m,36h 59m,34h 26m,31h 49m,29h 00m,26h 15m,23h 26m,20h 28m,17h 05m,13h 47m,10h 26m,9h 07m,7h 40m,6h 08m,4h 24m,3h 29m,2h 24m,1h 44m
Baden,20,118581.9,32h 56m,32h 56m,30h 48m,28h 59m,27h 12m,25h 19m,23h 37m,21h 59m,20h 24m,18h 39m,17h 16m,15h 41m,14h 19m,12h 48m,11h 11m,9h 27m,7h 09m,5h 18m,3h 14m
Badger,20,180689.0,50h 11m,50h 11m,47h 14m,44h 31m,41h 43m,38h 41m,35h 41m,32h 35m,29h 17m,25h 33m,21h 48m,17h 54m,15h 56m,13h 41m,11h 06m,9h 59m,8h 30m,7h 00m,5h 07m
Baie-Comeau,20,126155.0,35h 03m,35h 03m,32h 30m,30h 14m,27h 56m,25h 29m,23h 07m,20h 46m,18h 19m,15h 34m,13h 00m,10h 31m,9h 10m,8h 36m,7h 52m,7h 23m,6h 46m,5h 58m,4h 43m
Baie-D'Urfé,20,113424.5,31h 30m,31h 30m,29h 10m,27h 08m,25h 07m,22h 57m,20h 56m,18h 57m,16h 57m,14h 43m,12h 45m,11h 00m,9h 22m,8h 10m,6h 57m,5h 45m,4h 12m,3h 04m,1h 42m
Balgonie,20,102982.4,28h 36m,28h 36m,26h 45m,25h 08m,23h 23m,21h 34m,19h 34m,17h 43m,16h 13m,14h 54m,13h 31m,11h 59m,10h 19m,8h 44m,6h 58m,5h 43m,4h 52m,3h 56m,2h 32m
Ballantrae,20,114285.8,31h 45m,31h 45m,29h 37m,27h 48m,26h 01m,24h 08m,22h 26m,20h 49m,19h 14m,17h 29m,16h 06m,14h 31m,13h 10m,11h 40m,10h 04m,8h 21m,6h 05m,4h 15m,2h 19m
Balls Creek,20,145722.9,40h 29m,40h 29m,37h 40m,35h 06m,32h 29m,29h 39m,26h 53m,24h 03m,21h 03m,17h 40m,14h 20m,10h 56m,9h 35m,8h 05m,6h 29m,4h 54m,3h 54m,3h 04m,2h 20m
Bancroft,20,113595.1,31h 33m,31h 33m,29h 22m,27h 31m,25h 40m,23h 43m,21h 57m,20h 14m,18h 34m,16h 42m,15h 11m,13h 37m,12h 05m,10h 36m,9h 00m,7h 18m,5h 02m,3h 14m,1h 01m
Banff,20,116157.8,32h 16m,32h 16m,30h 03m,28h 01m,25h 48m,23h 29m,20h 53m,18h 22m,16h 30m,14h 28m,12h 12m,10h 10m,8h 53m,7h 35m,6h 18m,5h 09m,3h 45m,2h 47m,1h 48m
Banff Trail,20,112792.3,31h 20m,31h 20m,29h 08m,27h 08m,24h 58m,22h 41m,20h 09m,17h 42m,15h 53m,13h 56m,11h 45m,9h 48m,8h 34m,7h 25m,6h 17m,5h 04m,3h 44m,3h 08m,2h 07m
Bankview,20,113007.1,31h 23m,31h 23m,29h 12m,27h 12m,25h 02m,22h 45m,20h 13m,17h 45m,15h 57m,14h 00m,11h 49m,9h 52m,8h 38m,7h 28m,6h 21m,5h 07m,3h 48m,3h 11m,2h 10m
Barraute,20,107443.2,29h 51m,29h 51m,27h 49m,26h 06m,24h 27m,22h 41m,21h 09m,19h 42m,18h 19m,16h 48m,15h 20m,13h 58m,12h 49m,11h 24m,9h 44m,7h 46m,5h 08m,2h 47m,1h 30m
Barrhead,20,114107.8,31h 42m,31h 42m,29h 26m,27h 21m,25h 05m,22h 42m,20h 02m,17h 26m,15h 28m,13h 20m,10h 56m,9h 19m,8h 10m,7h 06m,5h 52m,4h 45m,3h 30m,2h 47m,2h 03m
Barrie,20,112879.9,31h 21m,31h 21m,29h 15m,27h 29m,25h 45m,23h 55m,22h 16m,20h 43m,19h 12m,17h 33m,16h 09m,14h 36m,13h 20m,11h 48m,10h 04m,8h 12m,5h 43m,3h 34m,1h 42m
Barrière,20,132472.5,36h 48m,36h 48m,34h 25m,32h 13m,29h 48m,27h 15m,24h 25m,21h 37m,19h 25m,17h 00m,14h 16m,12h 17m,10h 40m,9h 19m,7h 43m,5h 59m,4h 43m,3h 26m,2h 28m
Bassano,20,110875.7,30h 48m,30h 48m,28h 40m,26h 45m,24h 39m,22h 28m,20h 01m,17h 41m,16h 00m,14h 12m,12h 12m,10h 10m,8h 49m,7h 50m,6h 40m,5h 12m,4h 15m,3h 19m,2h 09m
Batchelor Hills,20,131823.5,36h 37m,36h 37m,34h 16m,32h 05m,29h 43m,27h 13m,24h 25m,21h 41m,19h 32m,17h 12m,14h 33m,12h 30m,10h 59m,9h 36m,8h 07m,6h 18m,5h 03m,3h 39m,3h 00m
Bath,20,115953.2,32h 13m,32h 13m,29h 58m,28h 02m,26h 07m,24h 04m,22h 11m,20h 22m,18h 34m,16h 32m,14h 50m,13h 23m,11h 37m,10h 16m,8h 50m,7h 21m,5h 24m,4h 04m,2h 04m
Batiscan,20,114749.6,31h 52m,31h 52m,29h 28m,27h 22m,25h 15m,22h 59m,20h 51m,18h 44m,16h 36m,14h 11m,12h 02m,10h 02m,8h 33m,7h 34m,6h 35m,5h 43m,4h 37m,3h 45m,2h 40m
Battleford,20,107179.5,29h 46m,29h 46m,27h 43m,25h 52m,23h 52m,21h 47m,19h 27m,17h 14m,15h 43m,14h 06m,12h 18m,10h 19m,9h 01m,7h 37m,6h 24m,5h 11m,4h 20m,3h 05m,1h 53m
Bay Roberts,20,196714.1,54h 39m,54h 39m,51h 41m,48h 57m,46h 09m,43h 06m,40h 05m,36h 58m,33h 39m,29h 53m,26h 07m,22h 12m,20h 12m,17h 54m,15h 15m,14h 04m,12h 29m,10h 49m,8h 41m
Bay St. George South,20,167519.2,46h 32m,46h 32m,43h 37m,40h 56m,38h 10m,35h 11m,32h 14m,29h 12m,25h 58m,22h 19m,18h 40m,14h 53m,13h 03m,10h 58m,8h 37m,7h 48m,6h 45m,5h 53m,5h 03m
Bayview,20,112901.3,31h 22m,31h 22m,29h 10m,27h 11m,25h 01m,22h 44m,20h 12m,17h 45m,15h 57m,14h 00m,11h 50m,9h 52m,8h 38m,7h 29m,6h 21m,5h 07m,3h 49m,3h 11m,2h 09m
Bayview Village,20,114330.3,31h 46m,31h 46m,29h 37m,27h 48m,26h 01m,24h 07m,22h 25m,20h 47m,19h 12m,17h 26m,16h 02m,14h 29m,13h 06m,11h 38m,10h 03m,8h 22m,6h 09m,4h 25m,2h 26m
Beaconsfield,20,113243.4,31h 27m,31h 27m,29h 07m,27h 06m,25h 04m,22h 54m,20h 53m,18h 54m,16h 55m,14h 40m,12h 43m,10h 58m,9h 20m,8h 09m,6h 56m,5h 44m,4h 11m,3h 05m,1h 44m
Beauharnois,20,113931.1,31h 39m,31h 39m,29h 18m,27h 16m,25h 14m,23h 03m,21h 01m,19h 01m,17h 01m,14h 45m,12h 46m,10h 59m,9h 22m,8h 11m,6h 59m,5h 48m,4h 16m,3h 06m,1h 46m
Beaumont,20,112405.0,31h 13m,31h 13m,29h 00m,26h 57m,24h 44m,22h 24m,19h 48m,17h 16m,15h 23m,13h 20m,11h 03m,9h 19m,8h 19m,7h 07m,5h 49m,4h 45m,3h 25m,2h 55m,2h 07m
Beausejour,20,100903.0,28h 02m,28h 02m,26h 31m,25h 16m,23h 56m,22h 35m,21h 07m,19h 27m,18h 00m,16h 38m,15h 24m,14h 06m,12h 53m,11h 36m,10h 08m,8h 12m,6h 23m,4h 42m,2h 09m
Beaverlodge,20,121024.5,33h 37m,33h 37m,31h 13m,29h 00m,26h 34m,24h 00m,21h 08m,18h 19m,16h 05m,13h 38m,10h 52m,9h 28m,7h 52m,6h 44m,5h 17m,4h 13m,3h 18m,1h 57m,0h 14m
Bécancour,20,114628.9,31h 50m,31h 50m,29h 27m,27h 21m,25h 16m,23h 01m,20h 54m,18h 49m,16h 43m,14h 20m,12h 13m,10h 16m,8h 46m,7h 44m,6h 43m,5h 47m,4h 37m,3h 42m,2h 43m
Beddington Heights,20,112780.5,31h 20m,31h 20m,29h 08m,27h 08m,24h 58m,22h 41m,20h 09m,17h 41m,15h 53m,13h 56m,11h 45m,9h 48m,8h 35m,7h 26m,6h 20m,5h 05m,3h 46m,3h 08m,2h 10m
Bedford,20,115583.6,32h 06m,32h 06m,29h 45m,27h 42m,25h 39m,23h 27m,21h 25m,19h 24m,17h 22m,15h 05m,13h 04m,11h 15m,9h 41m,8h 33m,7h 24m,6h 19m,4h 55m,3h 44m,2h 39m
Beeton,20,114096.7,31h 42m,31h 42m,29h 35m,27h 47m,26h 02m,24h 10m,22h 30m,20h 55m,19h 23m,17h 40m,16h 20m,14h 44m,13h 26m,11h 54m,10h 14m,8h 26m,6h 03m,4h 04m,2h 08m
Belcarra,20,144769.8,40h 13m,40h 13m,37h 50m,35h 38m,33h 14m,30h 42m,27h 52m,25h 04m,22h 53m,20h 29m,17h 46m,15h 37m,14h 00m,12h 33m,10h 54m,8h 51m,7h 17m,5h 23m,4h 01m
Belfast,20,138682.2,38h 31m,38h 31m,35h 46m,33h 17m,30h 44m,27h 59m,25h 18m,22h 34m,19h 42m,16h 27m,13h 17m,10h 05m,8h 52m,7h 29m,5h 54m,4h 11m,2h 34m,1h 39m,1h 07m
Bella Bella,20,174580.7,48h 30m,48h 30m,45h 53m,43h 26m,40h 45m,37h 54m,34h 42m,31h 30m,28h 50m,25h 53m,22h 31m,20h 10m,17h 39m,15h 22m,13h 24m,11h 01m,8h 35m,5h 20m,0h 29m
Belleville,20,115032.8,31h 57m,31h 57m,29h 44m,27h 50m,25h 56m,23h 56m,22h 06m,20h 19m,18h 33m,16h 36m,14h 58m,13h 30m,11h 50m,10h 27m,8h 59m,7h 28m,5h 29m,4h 04m,1h 56m
Bells Corners,20,111918.1,31h 05m,31h 05m,28h 49m,26h 52m,24h 55m,22h 51m,20h 56m,19h 05m,17h 14m,15h 10m,13h 24m,11h 53m,10h 07m,8h 45m,7h 19m,5h 50m,3h 53m,2h 32m,0h 53m
Belmont,20,121374.4,33h 43m,33h 43m,31h 35m,29h 46m,27h 59m,26h 05m,24h 22m,22h 45m,21h 10m,19h 24m,18h 00m,16h 25m,15h 02m,13h 31m,11h 53m,10h 08m,7h 49m,5h 55m,3h 47m
Beloeil,20,113381.0,31h 30m,31h 30m,29h 09m,27h 06m,25h 03m,22h 51m,20h 48m,18h 48m,16h 46m,14h 29m,12h 28m,10h 40m,9h 06m,7h 59m,6h 52m,5h 48m,4h 27m,3h 18m,2h 20m
Bendale,20,114444.2,31h 47m,31h 47m,29h 39m,27h 49m,26h 02m,24h 08m,22h 25m,20h 46m,19h 10m,17h 24m,15h 59m,14h 26m,13h 02m,11h 35m,10h 00m,8h 21m,6h 09m,4h 27m,2h 26m
Bentley,20,114544.3,31h 49m,31h 49m,29h 35m,27h 32m,25h 18m,22h 57m,20h 20m,17h 48m,15h 53m,13h 49m,11h 30m,9h 44m,8h 41m,7h 26m,6h 17m,5h 08m,3h 41m,3h 10m,2h 44m
Berthierville,20,113412.3,31h 30m,31h 30m,29h 09m,27h 05m,25h 02m,22h 50m,20h 46m,18h 45m,16h 42m,14h 25m,12h 23m,10h 33m,9h 00m,7h 55m,6h 49m,5h 47m,4h 28m,3h 25m,2h 32m
Berwick,20,143464.0,39h 51m,39h 51m,37h 06m,34h 36m,32h 04m,29h 18m,26h 38m,23h 54m,21h 02m,17h 47m,14h 37m,11h 25m,10h 15m,8h 51m,7h 17m,5h 35m,4h 03m,3h 02m,2h 37m
Berwyn,20,122546.3,34h 02m,34h 02m,31h 38m,29h 25m,26h 59m,24h 25m,21h 32m,18h 42m,16h 28m,14h 00m,11h 13m,9h 54m,8h 32m,7h 17m,5h 50m,4h 39m,3h 49m,2h 39m,1h 28m
Bethany,20,114023.3,31h 40m,31h 40m,29h 31m,27h 41m,25h 53m,23h 58m,22h 14m,20h 34m,18h 57m,17h 09m,15h 42m,14h 10m,12h 44m,11h 16m,9h 42m,8h 03m,5h 52m,4h 10m,2h 08m
Big Eddy,20,126558.5,35h 09m,35h 09m,32h 53m,30h 47m,28h 31m,26h 07m,23h 27m,20h 51m,18h 52m,16h 43m,14h 17m,12h 12m,10h 53m,9h 21m,7h 57m,6h 26m,5h 32m,4h 31m,3h 17m
Biggar,20,107286.4,29h 48m,29h 48m,27h 46m,25h 58m,24h 00m,21h 57m,19h 40m,17h 30m,16h 02m,14h 29m,12h 47m,10h 44m,9h 21m,7h 57m,6h 37m,5h 32m,4h 31m,3h 22m,2h 25m
Big River,20,110472.5,30h 41m,30h 41m,28h 38m,26h 48m,24h 48m,22h 43m,20h 24m,18h 12m,16h 42m,15h 06m,13h 19m,11h 21m,9h 57m,8h 23m,7h 09m,5h 56m,4h 41m,2h 55m,1h 57m
Binbrook,20,117815.4,32h 44m,32h 44m,30h 35m,28h 47m,27h 00m,25h 06m,23h 24m,21h 46m,20h 12m,18h 26m,17h 03m,15h 28m,14h 06m,12h 36m,10h 59m,9h 16m,6h 59m,5h 08m,3h 06m
Blackburn Hamlet,20,112311.1,31h 12m,31h 12m,28h 55m,26h 57m,25h 00m,22h 54m,20h 59m,19h 06m,17h 14m,15h 08m,13h 20m,11h 47m,10h 01m,8h 41m,7h 16m,5h 48m,3h 53m,2h 36m,0h 59m
