from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
Saint-Raymond,20,112908.6,31h 22m,31h 22m,29h 02m,27h 00m,24h 58m,22h 48m,20h 47m,18h 48m,16h 48m,14h 34m,12h 37m,10h 52m,9h 15m,8h 05m,6h 53m,5h 44m,4h 14m,3h 10m,1h 56m
Saint-Rémi,20,113769.4,31h 36m,31h 36m,29h 16m,27h 13m,25h 11m,23h 01m,20h 59m,18h 59m,16h 59m,14h 44m,12h 45m,10h 59m,9h 22m,8h 12m,7h 01m,5h 52m,4h 22m,3h 14m,2h 00m
Saint-Sauveur,20,111964.3,31h 06m,31h 06m,28h 48m,26h 48m,24h 49m,22h 41m,20h 43m,18h 48m,16h 52m,14h 42m,12h 50m,11h 12m,9h 33m,8h 20m,7h 05m,5h 51m,4h 14m,3h 23m,1h 59m
Saint-Sauveur-des-Monts,20,111860.9,31h 04m,31h 04m,28h 46m,26h 46m,24h 47m,22h 40m,20h 42m,18h 47m,16h 51m,14h 42m,12h 50m,11h 11m,9h 32m,8h 20m,7h 05m,5h 50m,4h 14m,3h 22m,1h 59m
Saint-Théophile,20,120852.9,33h 34m,33h 34m,31h 07m,28h 57m,26h 47m,24h 27m,22h 15m,20h 04m,17h 49m,15h 18m,13h 01m,10h 51m,9h 25m,8h 27m,7h 31m,6h 44m,5h 44m,4h 52m,3h 35m
Saint-Thomas,20,113323.2,31h 29m,31h 29m,29h 08m,27h 05m,25h 02m,22h 51m,20h 48m,18h 48m,16h 46m,14h 30m,12h 30m,10h 42m,9h 08m,8h 02m,6h 56m,5h 53m,4h 32m,3h 26m,2h 29m
Saint-Tite,20,115531.6,32h 06m,32h 06m,29h 41m,27h 35m,25h 28m,23h 12m,21h 05m,18h 59m,16h 51m,14h 26m,12h 17m,10h 18m,8h 48m,7h 46m,6h 45m,5h 49m,4h 38m,3h 58m,2h 53m
Saint-Ubalde,20,115849.9,32h 11m,32h 11m,29h 46m,27h 39m,25h 31m,23h 14m,21h 06m,18h 58m,16h 49m,14h 23m,12h 11m,10h 10m,8h 41m,7h 43m,6h 45m,5h 53m,4h 48m,4h 00m,2h 51m
Saint-Valère,20,114991.2,31h 57m,31h 57m,29h 32m,27h 26m,25h 19m,23h 04m,20h 56m,18h 50m,16h 42m,14h 18m,12h 09m,10h 10m,8h 41m,7h 40m,6h 40m,5h 47m,4h 39m,3h 43m,2h 41m
Saint-Victor,20,113010.2,31h 24m,31h 24m,29h 03m,27h 01m,24h 59m,22h 48m,20h 47m,18h 47m,16h 47m,14h 32m,12h 34m,10h 47m,9h 12m,8h 03m,6h 53m,5h 46m,4h 20m,3h 15m,2h 07m
